date,open,high,low,close,volume,adj_close
1/16/15,147.2,149.26,146.56,149.21,4303100,149.21
1/15/15,148.53,148.53,146.8,147.58,2892200,147.58
1/14/15,147.27,148.37,146.42,147.82,4802000,147.82
1/13/15,149.95,150.99,147.77,148.63,3899600,148.63
1/12/15,149.96,150.12,147.95,148.28,5887200,148.28
1/9/15,151.65,151.69,149.26,149.47,3358900,149.47
1/8/15,150.6,151.37,150.51,151.37,4282100,151.37
1/7/15,147.94,149.14,147.65,148.88,4156400,148.88
1/6/15,147.64,148.53,146.11,146.84,4116100,146.84
1/5/15,148.81,149,146.78,147,4168800,147
1/2/15,151.5,151.6,148.5,149.17,3436400,149.17
12/31/14,152.2,152.67,150.15,150.15,3182200,150.15
12/30/14,151.35,152.22,151.19,152.09,2001300,152.09
12/29/14,151.02,152.26,151.02,152.05,2677100,152.05
12/26/14,151.66,152.13,151.25,151.35,1889300,151.35
12/24/14,152.43,152.44,151.52,151.54,1612200,151.54
12/23/14,152.19,152.7,151.68,151.75,3472800,151.75
12/22/14,151.98,152.55,151.09,151.9,5919500,151.9
12/19/14,152.33,152.66,150.83,151.56,9337600,151.56
12/18/14,151.16,152.74,150.15,152.67,7839000,152.67
12/17/14,145.76,148.63,145.53,148.45,4838800,148.45
12/16/14,145.37,148.73,145,145.28,5009300,145.28
12/15/14,147.97,148.42,144.75,146.12,4727900,146.12
12/12/14,149.31,149.89,146.3,146.46,5198200,146.46
12/11/14,149.79,151.27,149.5,150.13,3626600,150.13
12/10/14,150.36,151.26,148.82,149.08,5559000,149.08
12/9/14,151.45,151.45,148.91,150.46,4550600,150.46
12/8/14,150.88,152.94,150.65,151.94,5263600,151.94
12/5/14,150.38,150.68,150.1,150.68,2777300,150.68
12/4/14,149.96,150.15,149.23,150.05,2418500,150.05
12/3/14,150.15,150.49,149.51,149.73,3004100,149.73
12/2/14,149.28,150,148.66,149.87,3179700,149.87
12/1/14,148.61,149.94,148.18,148.52,3317000,148.52
